# h138.osc
# tested 5 may 95
# fixed atten #2, Pac MM Prod det #50, bolted directly to
#	LO plate w/g atten; atten=5000; modulator = +300
# 23sep97 - changed all loop gains by +0.3
# 08sep05 - Commented out measured power, vop, mmerrv
#
# $Id: h138.tab,v 1.3 2005/09/22 00:59:49 colby Exp $
#
#| lo    | osctarg | oscbcktarg | vop | lgain |
#| r     | i       | i          | r   | r     |
  76.801  20338      24098       9.50   4.60 #   0.07886    9.50   0.26
  76.601  20211      23888       9.50   4.60 #   0.07887    9.50   0.16
  76.401  20110      23703       9.50   4.60 #   0.07804    9.50   0.22
  76.201  19975      23544       9.50   4.50 #   0.07836    9.51   0.16
  76.001  19852      23386       9.50   4.50 #   0.07664    9.50   0.26
  75.801  19740      23228       9.50   4.50 #   0.07784    9.51   0.10
  75.601  19613      23070       9.50   4.50 #   0.07822    9.50   0.21
  75.401  19526      22886       9.50   4.50 #   0.07481    9.50   0.17
  75.201  19437      22675       9.50   4.50 #   0.06696    9.49   0.25
  75.001  19351      22464       9.50   4.50 #   0.06500    9.51   0.13
  74.801  19248      22253       9.50   4.40 #   0.06268    9.49   0.28
  74.601  19143      22043       9.50   4.40 #   0.06085    9.49   0.24
  74.401  19029      21858       9.50   4.40 #   0.05656    9.50   0.15
  74.201  18914      21700       9.50   4.50 #   0.05182    9.50   0.16
  74.001  18785      21542       9.50   4.50 #   0.05054    9.49   0.25
  73.801  18649      21384       9.50   4.60 #   0.04934    9.49   0.20
  73.601  18515      21225       9.50   4.70 #   0.04169    9.50   0.15
  73.401  18324      21146       9.50   4.80 #   0.03296    9.25   2.50
  73.201  18250      20946       9.50   4.90 #   0.09060    9.56  -0.28
  73.001  18258      20846       9.50   4.90 #   0.09079    9.49   0.20
  72.801  18021      20725       9.50   5.00 #   0.08108    9.45   1.53
  72.601  17863      20304       9.50   5.10 #   0.03318    9.37   1.26
  72.401  17762      20065       9.50   5.20 #   0.02858    9.47   0.27
  72.201  17651      20013       9.50   5.20 #   0.08657    9.47   1.64
  72.001  17640      19961       9.50   5.20 #   0.09681    9.49   0.11
  71.801  17576      20118       9.50   5.10 #   0.08528    9.49   0.10
  71.601  17476      20276       9.50   5.00 #   0.06906    9.47   0.28
  71.601  17476      29506       9.50   5.00 #   0.06906    9.47   0.28
  71.401  17374      29368       9.50   4.90 #   0.05215    9.47   0.28
