# IERS table with UT1-UTC and polar motion
# $Id: IERS.tab,v 1.191 2015/03/06 16:16:53 control Exp $
# This table was automatically generated, roughly as follows:
#   wget ftp://maia.usno.navy.mil/ser7/ser7.dat
#   $CARMA/scripts/mk-iers.awk ser7.dat > IERS.tab
# or:
#   curl ftp://maia.usno.navy.mil/ser7/ser7.dat | $CARMA/scripts/mk-iers.awk > IERS.tab
# and placed in $CARMA/conf/catalogs
# This should be updated regularly, in A array weekly
#
# Note that MJD = JD - 2400000.5
#
# UTC (MJD)  UT1-UTC (s)  xpolCalendar (UTC)
#| mjd      |  dut1   | xpolar | ypolar |  calendar    |
#|  r       |   r     |   r    |   r    |     s        |
#| mjd      |   sec   | arcsec | arcsec |  yyyy-Mmm-dd |
#end
57343.00000  0.23407   0.1444   0.2367   2015-Nov-17
57344.00000  0.23265   0.1424   0.2361   2015-Nov-18
57345.00000  0.23104   0.1404   0.2355   2015-Nov-19
57346.00000  0.22924   0.1384   0.2349   2015-Nov-20
57347.00000  0.22727   0.1363   0.2344   2015-Nov-21
57348.00000  0.22524   0.1343   0.2339   2015-Nov-22
57349.00000  0.22322   0.1323   0.2334   2015-Nov-23
57350.00000  0.22125   0.1302   0.2330   2015-Nov-24
57351.00000  0.21939   0.1282   0.2326   2015-Nov-25
57352.00000  0.21770   0.1261   0.2322   2015-Nov-26
57353.00000  0.21622   0.1240   0.2318   2015-Nov-27
57354.00000  0.21485   0.1219   0.2315   2015-Nov-28
57355.00000  0.21343   0.1199   0.2312   2015-Nov-29
57356.00000  0.21203   0.1178   0.2309   2015-Nov-30
57357.00000  0.21057   0.1157   0.2307   2015-Dec-01
57358.00000  0.20909   0.1136   0.2305   2015-Dec-02
57359.00000  0.20754   0.1115   0.2303   2015-Dec-03
57360.00000  0.20595   0.1094   0.2302   2015-Dec-04
57361.00000  0.20434   0.1072   0.2301   2015-Dec-05
57362.00000  0.20281   0.1051   0.2300   2015-Dec-06
57363.00000  0.20128   0.1030   0.2299   2015-Dec-07
57364.00000  0.19988   0.1009   0.2299   2015-Dec-08
57365.00000  0.19857   0.0988   0.2299   2015-Dec-09
57366.00000  0.19733   0.0967   0.2300   2015-Dec-10
57367.00000  0.19618   0.0945   0.2301   2015-Dec-11
57368.00000  0.19509   0.0924   0.2302   2015-Dec-12
57369.00000  0.19407   0.0903   0.2303   2015-Dec-13
57370.00000  0.19302   0.0882   0.2305   2015-Dec-14
57371.00000  0.19198   0.0861   0.2307   2015-Dec-15
57372.00000  0.19084   0.0840   0.2310   2015-Dec-16
57373.00000  0.18954   0.0819   0.2312   2015-Dec-17
57374.00000  0.18811   0.0798   0.2315   2015-Dec-18
57375.00000  0.18665   0.0777   0.2319   2015-Dec-19
57376.00000  0.18516   0.0756   0.2322   2015-Dec-20
57377.00000  0.18375   0.0736   0.2326   2015-Dec-21
57378.00000  0.18243   0.0715   0.2330   2015-Dec-22
57379.00000  0.18122   0.0694   0.2335   2015-Dec-23
57380.00000  0.18016   0.0674   0.2340   2015-Dec-24
57381.00000  0.17920   0.0653   0.2345   2015-Dec-25
57382.00000  0.17828   0.0633   0.2350   2015-Dec-26
57383.00000  0.17733   0.0613   0.2356   2015-Dec-27
57384.00000  0.17635   0.0593   0.2362   2015-Dec-28
57385.00000  0.17533   0.0573   0.2369   2015-Dec-29
57386.00000  0.17426   0.0553   0.2376   2015-Dec-30
57387.00000  0.17311   0.0533   0.2383   2015-Dec-31
57388.00000  0.17189   0.0513   0.2390   2016-Jan-01
57389.00000  0.17068   0.0494   0.2397   2016-Jan-02
57390.00000  0.16944   0.0474   0.2405   2016-Jan-03
57391.00000  0.16824   0.0455   0.2414   2016-Jan-04
57392.00000  0.16712   0.0436   0.2422   2016-Jan-05
57393.00000  0.16611   0.0417   0.2431   2016-Jan-06
57394.00000  0.16519   0.0398   0.2440   2016-Jan-07
57395.00000  0.16435   0.0380   0.2449   2016-Jan-08
57396.00000  0.16354   0.0361   0.2459   2016-Jan-09
57397.00000  0.16269   0.0343   0.2469   2016-Jan-10
57398.00000  0.16178   0.0325   0.2479   2016-Jan-11
57399.00000  0.16066   0.0307   0.2489   2016-Jan-12
57400.00000  0.15935   0.0290   0.2500   2016-Jan-13
57401.00000  0.15784   0.0272   0.2511   2016-Jan-14
57402.00000  0.15623   0.0255   0.2522   2016-Jan-15
57403.00000  0.15455   0.0238   0.2534   2016-Jan-16
57404.00000  0.15293   0.0221   0.2546   2016-Jan-17
57405.00000  0.15140   0.0204   0.2558   2016-Jan-18
57406.00000  0.15001   0.0188   0.2570   2016-Jan-19
57407.00000  0.14877   0.0172   0.2583   2016-Jan-20
57408.00000  0.14766   0.0156   0.2596   2016-Jan-21
57409.00000  0.14663   0.0140   0.2609   2016-Jan-22
57410.00000  0.14564   0.0125   0.2622   2016-Jan-23
57411.00000  0.14462   0.0109   0.2635   2016-Jan-24
57412.00000  0.14350   0.0094   0.2649   2016-Jan-25
57413.00000  0.14227   0.0080   0.2663   2016-Jan-26
57414.00000  0.14100   0.0065   0.2678   2016-Jan-27
57415.00000  0.13967   0.0051   0.2692   2016-Jan-28
57416.00000  0.13834   0.0037   0.2707   2016-Jan-29
57417.00000  0.13712   0.0023   0.2722   2016-Jan-30
57418.00000  0.13596   0.0010   0.2737   2016-Jan-31
57419.00000  0.13486   -0.0003   0.2752   2016-Feb-01
57420.00000  0.13387   -0.0016   0.2768   2016-Feb-02
57421.00000  0.13297   -0.0028   0.2783   2016-Feb-03
57422.00000  0.13214   -0.0041   0.2799   2016-Feb-04
57423.00000  0.13140   -0.0053   0.2815   2016-Feb-05
57424.00000  0.13068   -0.0064   0.2832   2016-Feb-06
57425.00000  0.12996   -0.0076   0.2848   2016-Feb-07
57426.00000  0.12908   -0.0087   0.2865   2016-Feb-08
57427.00000  0.12793   -0.0097   0.2882   2016-Feb-09
57428.00000  0.12657   -0.0108   0.2899   2016-Feb-10
57429.00000  0.12512   -0.0118   0.2916   2016-Feb-11
57430.00000  0.12355   -0.0128   0.2933   2016-Feb-12
57431.00000  0.12201   -0.0137   0.2951   2016-Feb-13
57432.00000  0.12052   -0.0146   0.2968   2016-Feb-14
57433.00000  0.11915   -0.0155   0.2986   2016-Feb-15
57434.00000  0.11789   -0.0164   0.3004   2016-Feb-16
57435.00000  0.11670   -0.0172   0.3022   2016-Feb-17
57436.00000  0.11559   -0.0180   0.3040   2016-Feb-18
57437.00000  0.11458   -0.0187   0.3059   2016-Feb-19
57438.00000  0.11359   -0.0194   0.3077   2016-Feb-20
57439.00000  0.11258   -0.0201   0.3096   2016-Feb-21
57440.00000  0.11157   -0.0207   0.3114   2016-Feb-22
57441.00000  0.11052   -0.0214   0.3133   2016-Feb-23
57442.00000  0.10941   -0.0219   0.3152   2016-Feb-24
57443.00000  0.10826   -0.0225   0.3171   2016-Feb-25
57444.00000  0.10710   -0.0230   0.3190   2016-Feb-26
57445.00000  0.10593   -0.0235   0.3209   2016-Feb-27
57446.00000  0.10474   -0.0239   0.3229   2016-Feb-28
57447.00000  0.10362   -0.0243   0.3248   2016-Feb-29
57448.00000  0.10258   -0.0247   0.3267   2016-Mar-01
57449.00000  0.10158   -0.0250   0.3287   2016-Mar-02
57450.00000  0.10069   -0.0253   0.3306   2016-Mar-03
57451.00000  0.09986   -0.0255   0.3326   2016-Mar-04
